stress_axis,stress_level,method,action_success,ci95_success,damage,probe_cost,false_safe_confidence,rows
combined,0.75,budgeted_information_gain,0.46250,0.09227,0.28750,0.21767,0.04583,240
combined,0.75,calibrated_debt_threshold,0.50833,0.07965,0.22083,0.21167,0.01667,240
combined,0.75,grounding_debt_planner_v5,0.50417,0.08474,0.20833,0.19938,0.02500,240
combined,0.75,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
combined,1.00,vision_language_policy,0.29583,0.06142,0.33750,0.00000,0.03333,240
combined,1.00,greedy_active_touch,0.25417,0.04628,0.49167,0.26667,0.02083,240
combined,1.00,strong_tactile_then_policy,0.16667,0.03443,0.63333,0.79000,0.00000,240
combined,1.00,risk_aware_touch_policy,0.36250,0.05027,0.27917,0.21304,0.03333,240
combined,1.00,budgeted_information_gain,0.34167,0.04683,0.35417,0.21938,0.04583,240
combined,1.00,calibrated_debt_threshold,0.32083,0.07207,0.21667,0.20667,0.02500,240
combined,1.00,grounding_debt_planner_v5,0.37083,0.06935,0.25417,0.19237,0.03750,240
combined,1.00,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
combined,1.25,vision_language_policy,0.18333,0.05194,0.40000,0.00000,0.04583,240
combined,1.25,greedy_active_touch,0.18333,0.05736,0.57500,0.26696,0.02083,240
combined,1.25,strong_tactile_then_policy,0.15417,0.04563,0.60417,0.79000,0.00000,240
combined,1.25,risk_aware_touch_policy,0.25833,0.05684,0.33333,0.21158,0.05000,240
combined,1.25,budgeted_information_gain,0.23333,0.05605,0.39583,0.09400,0.08333,240
combined,1.25,calibrated_debt_threshold,0.22917,0.04431,0.30833,0.20417,0.02500,240
combined,1.25,grounding_debt_planner_v5,0.25417,0.06142,0.33750,0.08637,0.03333,240
combined,1.25,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
combined,1.50,vision_language_policy,0.26250,0.05027,0.38333,0.00000,0.03750,240
combined,1.50,greedy_active_touch,0.17917,0.03859,0.56667,0.26317,0.04167,240
combined,1.50,strong_tactile_then_policy,0.14167,0.05472,0.60000,0.79000,0.00000,240
combined,1.50,risk_aware_touch_policy,0.25417,0.04628,0.35000,0.20850,0.10417,240
combined,1.50,budgeted_information_gain,0.25000,0.03221,0.38333,0.09292,0.07500,240
combined,1.50,calibrated_debt_threshold,0.21250,0.03935,0.30417,0.20179,0.02917,240
combined,1.50,grounding_debt_planner_v5,0.27917,0.02126,0.33333,0.08608,0.01250,240
combined,1.50,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
